token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO139	0	eccoci	eccoci	linguistic	none	_	Begin=0.85	_	_	_	_
0-1	BO139	0	qua	qua	linguistic	none	_	End=1.41	_	_	_	_
1-0	BO148	1	weila	weila	linguistic	none	_	Begin=1.67|End=2.21	_	_	_	_
2-0	BO139	2	allora	allora	linguistic	none	_	Begin=2.33	_	_	_	_
2-1	BO139	2	appoggiamo	appoggiamo	linguistic	none	_	_	_	_	_	_
2-2	BO139	2	questo	questo	linguistic	none	_	_	_	_	_	_
2-3	BO139	2	teniamolo	teniamolo	linguistic	none	_	_	_	_	_	_
2-4	BO139	2	fermo	fermo	linguistic	none	_	_	_	_	_	_
2-5	BO139	2	così	così	linguistic	none	_	_	_	_	_	_
2-6	BO139	2	non	non	linguistic	none	_	_	_	_	_	_
2-7	BO139	2	devo	devo	linguistic	none	_	_	_	_	_	_
2-8	BO139	2	((ride))	((ride))	nonverbalbehavior	none	_	End=5.19	_	_	_	_
3-0	BO148	3	va	va	linguistic	none	_	Begin=5.32	_	_	_	_
3-1	BO148	3	bene.	bene	linguistic	none	Intonation=falling	_	_	_	_	_
3-2	BO148	3	ah	ah	linguistic	none	_	_	_	_	_	_
3-3	BO148	3	darà	darà	linguistic	none	_	_	_	_	_	_
3-4	BO148	3	fastidio	fastidio	linguistic	none	_	_	_	_	_	_
3-5	BO148	3	se	se	linguistic	none	_	_	_	_	_	_
3-6	BO148	3	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
3-7	BO148	3	se	se	linguistic	none	_	_	_	_	_	_
3-8	BO148	3	intanto	intanto	linguistic	none	_	_	_	_	_	_
3-9	BO148	3	mangio	mangio	linguistic	none	_	_	_	_	_	_
3-10	BO148	3	fette	fette	linguistic	none	_	_	_	_	_	_
3-11	BO148	3	biscottate	biscottate	linguistic	none	_	End=8.99	_	_	_	_
4-0	BO139	4	no	no	linguistic	none	_	Begin=9.06	_	_	_	_
4-1	BO139	4	n[o	no	linguistic	none	_	_	_	_	_	1-2(0)
4-2	BO139	4	no	no	linguistic	none	_	_	_	_	_	0-2(0)
4-3	BO139	4	va	va	linguistic	none	_	_	_	_	_	0-2(0)
4-4	BO139	4	>bene<	bene	linguistic	none	_	_	_	Fast=0-4(0)	_	0-4(0)
4-5	BO139	4	n]o	no	linguistic	none	_	_	_	_	_	0-1(0)
4-6	BO139	4	no	no	linguistic	none	_	_	_	_	_	_
4-7	BO139	4	va	va	linguistic	none	_	_	_	_	_	_
4-8	BO139	4	>bene<	bene	linguistic	none	_	End=11.39	_	Fast=0-4(1)	_	_
5-0	BO148	5	[mastico]	mastico	linguistic	none	_	Begin=9.4|End=10.32	_	_	_	0-7(0)
6-0	BO139	6	basta	basta	linguistic	none	_	Begin=11.72	_	_	_	_
6-1	BO139	6	cioè	cioè	linguistic	none	_	_	_	_	_	_
6-2	BO139	6	>nel	nel	linguistic	none	_	_	_	Fast=0-3(0)	_	_
6-3	BO139	6	senso<	senso	linguistic	none	_	_	_	Fast=0-5(0)	_	_
6-4	BO139	6	se	se	linguistic	none	_	_	_	_	_	_
6-5	BO139	6	riesci	riesci	linguistic	none	_	_	_	_	_	_
6-6	BO139	6	eh	eh	linguistic	none	_	_	_	_	_	_
6-7	BO139	6	a	a	linguistic	none	_	_	_	_	_	_
6-8	BO139	6	non	non	linguistic	none	_	_	_	_	_	_
6-9	BO139	6	parlare	parlare	linguistic	none	_	_	_	_	_	_
6-10	BO139	6	con	con	linguistic	none	_	_	_	_	_	_
6-11	BO139	6	la	la	linguistic	none	_	_	_	_	_	_
6-12	BO139	6	bocca	bocca	linguistic	none	_	_	_	_	_	_
6-13	BO139	6	strapiena	strapiena	linguistic	none	_	_	_	_	_	_
6-14	BO139	6	dopo	dopo	linguistic	none	_	_	_	_	_	_
6-15	BO139	6	mi	mi	linguistic	none	_	_	_	_	_	_
6-16	BO139	6	viene	viene	linguistic	none	_	_	_	_	_	_
6-17	BO139	6	più	più	linguistic	none	_	_	_	_	_	_
6-18	BO139	6	facile	facile	linguistic	none	_	_	_	_	_	_
6-19	BO139	6	però	però	linguistic	none	_	_	_	_	_	_
6-20	BO139	6	insomma	insomma	linguistic	none	_	End=16.71	_	_	_	_
7-0	BO139	7	te	te	linguistic	none	_	Begin=16.79	_	_	_	_
7-1	BO139	7	fai	fai	linguistic	none	_	_	_	_	_	_
7-2	BO139	7	normale	normale	linguistic	none	_	_	_	_	_	_
7-3	BO139	7	insomma	insomma	linguistic	none	_	End=18.28	_	_	_	_
8-0	BO139	8	non	non	linguistic	none	_	Begin=18.545	_	_	_	_
8-1	BO139	8	deve	deve	linguistic	none	_	_	_	_	_	_
8-2	BO139	8	essere	essere	linguistic	none	_	_	_	_	_	_
8-3	BO139	8	niente	niente	linguistic	none	_	_	_	_	_	_
8-4	BO139	8	di	di	linguistic	none	_	_	_	_	_	_
8-5	BO139	8	alterato	alterato	linguistic	none	_	End=20.157	_	_	_	_
9-0	BO148	9	va	va	linguistic	none	_	Begin=20.157	_	_	_	_
9-1	BO148	9	bene	bene	linguistic	none	_	End=20.85	_	_	_	_
10-0	BO139	10	e:h	eh	linguistic	none	_	Begin=20.945	0x1	_	_	_
10-1	BO139	10	niente	niente	linguistic	none	_	_	_	_	_	_
10-2	BO139	10	no	no	linguistic	none	_	_	_	_	_	_
10-3	BO139	10	ti	ti	linguistic	none	_	_	_	_	_	_
10-4	BO139	10	volevo	volevo	linguistic	none	_	_	_	_	_	_
10-5	BO139	10	raccontare	raccontare	linguistic	none	_	_	_	_	_	_
10-6	BO139	10	di	di	linguistic	none	_	_	_	_	_	_
10-7	BO139	10	ieri	ieri	linguistic	none	_	_	_	_	_	_
10-8	BO139	10	che	che	linguistic	none	_	End=24.125	_	_	_	_
11-0	BO139	11	non	non	linguistic	none	_	Begin=25.185	_	_	_	_
11-1	BO139	11	so	so	linguistic	none	_	_	_	_	_	_
11-2	BO139	11	se	se	linguistic	none	_	_	_	_	_	_
11-3	BO139	11	per	per	linguistic	none	_	_	_	_	_	_
11-4	BO139	11	caso	caso	linguistic	none	_	_	_	_	_	_
11-5	BO139	11	hai	hai	linguistic	none	_	_	_	_	_	_
11-6	BO139	11	incrociato	incrociato	linguistic	none	_	_	_	_	_	_
11-7	BO139	11	ale	ale	linguistic	none	_	_	_	_	_	_
11-8	BO139	11	la	la	linguistic	none	_	_	_	_	_	_
11-9	BO139	11	mattina	mattina	linguistic	none	_	End=27.985	_	_	_	_
12-0	BO139	12	ma	ma	linguistic	none	_	Begin=28.29	_	_	_	_
12-1	BO139	12	era	era	linguistic	none	_	_	_	_	_	_
12-2	BO139	12	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
12-3	BO139	12	particolarmente:	particolarmente	linguistic	none	_	_	14x1	_	_	_
12-4	BO139	12	giù	giù	linguistic	none	_	_	_	_	_	_
12-5	BO139	12	di	di	linguistic	none	_	_	_	_	_	_
12-6	BO139	12	corda	corda	linguistic	none	_	_	_	_	_	_
12-7	BO139	12	così	così	linguistic	none	_	End=31.54	_	_	_	_
13-0	BO148	13	mh	mh	linguistic	none	_	Begin=31.56|End=31.82	_	_	_	_
14-0	BO139	14	eh	eh	linguistic	none	_	Begin=31.865	_	_	_	_
14-1	BO139	14	infatti	infatti	linguistic	none	_	_	_	_	_	_
14-2	BO139	14	eh	eh	linguistic	none	_	_	_	_	_	_
14-3	BO139	14	mi	mi	linguistic	none	_	_	_	_	_	_
14-4	BO139	14	sembrava	sembrava	linguistic	none	_	_	_	_	_	_
14-5	BO139	14	di	di	linguistic	none	_	_	_	_	_	_
14-6	BO139	14	averlo	averlo	linguistic	none	_	_	_	_	_	_
14-7	BO139	14	visto	visto	linguistic	none	_	_	_	_	_	_
14-8	BO139	14	però	però	linguistic	none	_	_	_	_	_	_
14-9	BO139	14	ho	ho	linguistic	none	_	_	_	_	_	_
14-10	BO139	14	detto	detto	linguistic	none	_	_	_	_	_	_
14-11	BO139	14	vabbè	vabbè	linguistic	none	_	_	_	_	_	_
14-12	BO139	14	dai	dai	linguistic	none	_	_	_	_	_	_
14-13	BO139	14	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
14-14	BO139	14	avrà	avrà	linguistic	none	_	_	_	_	_	_
14-15	BO139	14	i	i	linguistic	none	_	_	_	_	_	_
14-16	BO139	14	cazzi	cazzi	linguistic	none	_	_	_	_	_	_
14-17	BO139	14	sua	sua	linguistic	none	_	End=35.685	_	_	_	_
15-0	BO148	15	era	era	linguistic	none	_	Begin=35.76	_	_	_	_
15-1	BO148	15	era	era	linguistic	none	_	_	_	_	_	_
15-2	BO148	15	tri~	tri~	linguistic	none	Interrupted=Yes	_	_	_	_	_
15-3	BO148	15	cioè	cioè	linguistic	none	_	_	_	_	_	_
15-4	BO148	15	un	un	linguistic	none	_	_	_	_	_	_
15-5	BO148	15	po'	po'	linguistic	none	_	_	_	_	_	_
15-6	BO148	15	triste	triste	linguistic	none	_	End=37.5	_	_	_	_
16-0	BO139	16	sì	sì	linguistic	none	_	Begin=37.545	_	_	_	_
16-1	BO139	16	era	era	linguistic	none	_	_	_	_	_	_
16-2	BO139	16	molto	molto	linguistic	none	_	_	_	_	_	_
16-3	BO139	16	sai	sai	linguistic	none	_	_	_	_	_	_
16-4	BO139	16	che	che	linguistic	none	_	_	_	_	_	_
16-5	BO139	16	lui	lui	linguistic	none	_	_	_	_	_	_
16-6	BO139	16	è	è	linguistic	none	_	_	_	_	_	_
16-7	BO139	16	sempre:	sempre	linguistic	none	_	_	5x1	_	_	_
16-8	BO139	16	super	super	linguistic	none	_	_	_	_	_	_
16-9	BO139	16	positivo,	positivo	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
16-10	BO139	16	super	super	linguistic	none	_	_	_	_	_	_
16-11	BO139	16	carico	carico	linguistic	none	_	End=40.882	_	_	_	_
17-0	BO148	17	sì	sì	linguistic	none	_	Begin=40.882	_	_	_	_
17-1	BO148	17	abbastanza	abbastanza	linguistic	none	_	_	_	_	_	_
17-2	BO148	17	anche	anche	linguistic	none	_	_	_	_	_	_
17-3	BO148	17	quando	quando	linguistic	none	_	_	_	_	_	_
17-4	BO148	17	è	è	linguistic	none	_	_	_	_	_	_
17-5	BO148	17	arrabbiato	arrabbiato	linguistic	none	_	_	_	_	_	_
17-6	BO148	17	è:	è	linguistic	none	_	End=43.08	0x1	_	_	_
18-0	BO139	18	((ride))	((ride))	nonverbalbehavior	none	_	Begin=43.25|End=44.04	_	_	_	_
19-0	BO148	19	però	però	linguistic	none	_	Begin=43.585	_	_	_	_
19-1	BO148	19	è	è	linguistic	none	_	_	_	_	_	_
19-2	BO148	19	è	è	linguistic	none	_	_	_	_	_	_
19-3	BO148	19	sul	sul	linguistic	none	_	_	_	_	_	_
