token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO115	0	ciao	ciao	linguistic	none	_	Begin=2.3	_	_	_	_
0-1	BO115	0	paola.	paola	linguistic	none	Intonation=falling	End=3.083	_	_	_	_
1-0	BO114	1	ciao,	ciao	linguistic	none	Intonation=weakly_rising	Begin=3.588	_	_	_	_
1-1	BO114	1	rio	rio	linguistic	none	_	End=4.265	_	_	_	_
2-0	BO115	2	all:ora,	allora	linguistic	none	Intonation=weakly_rising	Begin=5.18	2x1	_	_	_
2-1	BO115	2	parlami	parlami	linguistic	none	_	_	_	_	_	_
2-2	BO115	2	un	un	linguistic	none	_	_	_	_	_	_
2-3	BO115	2	po'::,	po'	linguistic	none	Intonation=weakly_rising	_	1x2	_	_	_
2-4	BO115	2	di	di	linguistic	none	_	_	_	_	_	_
2-5	BO115	2	come	come	linguistic	none	_	_	_	_	_	_
2-6	BO115	2	ti	ti	linguistic	none	_	_	_	_	_	_
2-7	BO115	2	trovi	trovi	linguistic	none	_	_	_	_	_	_
2-8	BO115	2	a	a	linguistic	none	_	_	_	_	_	_
2-9	BO115	2	bologna.	bologna	linguistic	none	Intonation=falling	_	_	_	_	_
2-10	BO115	2	di	di	linguistic	none	_	_	_	_	_	_
2-11	BO115	2	cosa	cosa	linguistic	none	_	_	_	_	_	_
2-12	BO115	2	fai	fai	linguistic	none	_	_	_	_	_	_
2-13	BO115	2	durante	durante	linguistic	none	_	_	_	_	_	_
2-14	BO115	2	le	le	linguistic	none	_	_	_	_	_	_
2-15	BO115	2	tue	tue	linguistic	none	_	_	_	_	_	_
2-16	BO115	2	giornate	giornate	linguistic	none	_	_	_	_	_	_
2-17	BO115	2	bolognesi.	bolognesi	linguistic	none	Intonation=falling	End=11.986	_	_	_	_
3-0	BO114	3	beh,	beh	linguistic	none	Intonation=weakly_rising	Begin=12.971	_	_	_	_
3-1	BO114	3	a	a	linguistic	none	_	_	_	_	_	_
3-2	BO114	3	bologna	bologna	linguistic	none	_	_	_	_	_	_
3-3	BO114	3	mi	mi	linguistic	none	_	_	_	_	_	_
3-4	BO114	3	trovo	trovo	linguistic	none	_	_	_	_	_	_
3-5	BO114	3	molto	molto	linguistic	none	_	_	_	_	_	_
3-6	BO114	3	bene.	bene	linguistic	none	Intonation=falling	End=15.255	_	_	_	_
4-0	BO114	4	c'	c'	linguistic	none	SpaceAfter=No	Begin=15.38	_	_	_	_
4-1	BO114	4	è	è	linguistic	none	_	_	_	_	_	_
4-2	BO114	4	da	da	linguistic	none	_	_	_	_	_	_
4-3	BO114	4	dire,	dire	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
4-4	BO114	4	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
4-5	BO114	4	mh	mh	linguistic	none	_	_	_	_	_	_
4-6	BO114	4	((ride))	((ride))	nonverbalbehavior	none	_	_	_	_	_	_
4-7	BO114	4	che::	che	linguistic	none	_	_	2x2	_	_	_
4-8	BO114	4	i	i	linguistic	none	_	_	_	_	_	_
4-9	BO114	4	primi	primi	linguistic	none	_	_	_	_	_	_
4-10	BO114	4	anni	anni	linguistic	none	_	_	_	_	_	_
4-11	BO114	4	sono	sono	linguistic	none	_	_	_	_	_	_
4-12	BO114	4	stati	stati	linguistic	none	_	_	_	_	_	_
4-13	BO114	4	meravigliosi.	meravigliosi	linguistic	none	Intonation=falling	End=22.076	_	_	_	_
5-0	BO114	5	questo	questo	linguistic	none	_	Begin=22.175	_	_	_	_
5-1	BO114	5	è	è	linguistic	none	_	_	_	_	_	_
5-2	BO114	5	il	il	linguistic	none	_	_	_	_	_	_
5-3	BO114	5	mio	mio	linguistic	none	_	_	_	_	_	_
5-4	BO114	5	quarto	quarto	linguistic	none	_	_	_	_	_	_
5-5	BO114	5	anno	anno	linguistic	none	_	_	_	_	_	_
5-6	BO114	5	a	a	linguistic	none	_	_	_	_	_	_
5-7	BO114	5	bologna.	bologna	linguistic	none	Intonation=falling	_	_	_	_	_
5-8	BO114	5	quindi	quindi	linguistic	none	_	_	_	_	_	_
5-9	BO114	5	ora	ora	linguistic	none	_	_	_	_	_	_
5-10	BO114	5	sono:	sono	linguistic	none	_	_	3x1	_	_	_
5-11	BO114	5	un	un	linguistic	none	_	_	_	_	_	_
5-12	BO114	5	po'	po'	linguistic	none	_	_	_	_	_	_
5-13	BO114	5	stanca	stanca	linguistic	none	_	_	_	_	_	_
5-14	BO114	5	e	e	linguistic	none	_	_	_	_	_	_
5-15	BO114	5	vorrei	vorrei	linguistic	none	_	_	_	_	_	_
5-16	BO114	5	cambiare	cambiare	linguistic	none	_	_	_	_	_	_
5-17	BO114	5	aria.	aria	linguistic	none	Intonation=falling	End=26.391	_	_	_	_
6-0	BO114	6	anche	anche	linguistic	none	_	Begin=26.928	_	_	_	_
6-1	BO114	6	perché,	perché	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
6-2	BO114	6	per	per	linguistic	none	_	_	_	_	_	_
6-3	BO114	6	rispondere	rispondere	linguistic	none	_	_	_	_	_	_
6-4	BO114	6	alla	alla	linguistic	none	_	_	_	_	_	_
6-5	BO114	6	seconda	seconda	linguistic	none	_	_	_	_	_	_
6-6	BO114	6	parte	parte	linguistic	none	_	_	_	_	_	_
6-7	BO114	6	della	della	linguistic	none	_	_	_	_	_	_
6-8	BO114	6	tua	tua	linguistic	none	_	_	_	_	_	_
6-9	BO114	6	domanda,	domanda	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
6-10	BO114	6	in	in	linguistic	none	_	_	_	_	_	_
6-11	BO114	6	questi	questi	linguistic	none	_	_	_	_	_	_
6-12	BO114	6	giorni	giorni	linguistic	none	_	_	_	_	_	_
6-13	BO114	6	sto	sto	linguistic	none	_	_	_	_	_	_
6-14	BO114	6	solo	solo	linguistic	none	_	_	_	_	_	_
6-15	BO114	6	studiando	studiando	linguistic	none	_	_	_	_	_	_
6-16	BO114	6	quindi	quindi	linguistic	none	_	_	_	_	_	_
6-17	BO114	6	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
6-18	BO114	6	è	è	linguistic	none	_	_	_	_	_	_
6-19	BO114	6	poco	poco	linguistic	none	_	_	_	_	_	_
6-20	BO114	6	esaltante	esaltante	linguistic	none	_	_	_	_	_	_
6-21	BO114	6	come	come	linguistic	none	_	_	_	_	_	_
6-22	BO114	6	progetto	progetto	linguistic	none	_	_	_	_	_	_
6-23	BO114	6	di	di	linguistic	none	_	_	_	_	_	_
6-24	BO114	6	vita.	vita	linguistic	none	Intonation=falling	End=35.861	_	_	_	_
7-0	BO115	7	mh	mh	linguistic	none	_	Begin=36.101|End=36.501	_	_	_	_
8-0	BO115	8	e:::	e	linguistic	none	_	Begin=37.853	0x3	_	_	_
8-1	BO115	8	quindi	quindi	linguistic	none	_	_	_	_	_	_
8-2	BO115	8	dicevi,	dicevi	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
8-3	BO115	8	perché	perché	linguistic	none	_	_	_	_	_	_
8-4	BO115	8	son	son	linguistic	none	_	_	_	_	_	_
8-5	BO115	8	stati	stati	linguistic	none	_	_	_	_	_	_
8-6	BO115	8	meravigliosi,	meravigliosi	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
8-7	BO115	8	i	i	linguistic	none	_	_	_	_	_	_
8-8	BO115	8	primi	primi	linguistic	none	_	_	_	_	_	_
8-9	BO115	8	anni?	anni	linguistic	none	Intonation=rising	End=42.091	_	_	_	_
9-0	BO114	9	perché::	perché	linguistic	none	_	Begin=42.85	5x2	_	_	_
9-1	BO114	9	scoprivo	scoprivo	linguistic	none	_	_	_	_	_	_
9-2	BO114	9	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
9-3	BO114	9	ambiente	ambiente	linguistic	none	_	_	_	_	_	_
9-4	BO114	9	universitario	universitario	linguistic	none	_	_	_	_	_	_
9-5	BO114	9	poi	poi	linguistic	none	_	_	_	_	_	_
9-6	BO114	9	io	io	linguistic	none	_	_	_	_	_	_
9-7	BO114	9	vengo	vengo	linguistic	none	_	_	_	_	_	_
9-8	BO114	9	da	da	linguistic	none	_	_	_	_	_	_
9-9	BO114	9	una	una	linguistic	none	_	_	_	_	_	_
9-10	BO114	9	piccola	piccola	linguistic	none	_	_	_	_	_	_
9-11	BO114	9	città,	città	linguistic	none	Intonation=weakly_rising	End=47.1	_	_	_	_
10-0	BO114	10	e	e	linguistic	none	_	Begin=47.58	_	_	_	_
10-1	BO114	10	nonostante	nonostante	linguistic	none	_	_	_	_	_	_
10-2	BO114	10	avessi	avessi	linguistic	none	_	_	_	_	_	_
10-3	BO114	10	già	già	linguistic	none	_	_	_	_	_	_
10-4	BO114	10	fatto	fatto	linguistic	none	_	_	_	_	_	_
10-5	BO114	10	esperienze	esperienze	linguistic	none	_	_	_	_	_	_
10-6	BO114	10	fuori	fuori	linguistic	none	_	_	_	_	_	_
10-7	BO114	10	casa,	casa	linguistic	none	Intonation=weakly_rising	End=50.39	_	_	_	_
11-0	BO114	11	non	non	linguistic	none	_	Begin=50.87	_	_	_	_
11-1	BO114	11	erano	erano	linguistic	none	_	_	_	_	_	_
11-2	BO114	11	in	in	linguistic	none	_	_	_	_	_	_
11-3	BO114	11	un	un	linguistic	none	_	_	_	_	_	_
11-4	BO114	11	contesto	contesto	linguistic	none	_	_	_	_	_	_
11-5	BO114	11	di	di	linguistic	none	_	_	_	_	_	_
11-6	BO114	11	coiquilini,	coiquilini	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
11-7	BO114	11	o	o	linguistic	none	_	End=54.85	_	_	_	_
12-0	BO114	12	libertà	libertà	linguistic	none	_	Begin=56.386	_	_	_	_
12-1	BO114	12	totale	totale	linguistic	none	_	_	_	_	_	_
12-2	BO114	12	da	da	linguistic	none	_	_	_	_	_	_
12-3	BO114	12	qualsiasi	qualsiasi	linguistic	none	_	_	_	_	_	_
12-4	BO114	12	controllo	controllo	linguistic	none	_	_	_	_	_	_
12-5	BO114	12	parentale	parentale	linguistic	none	_	_	_	_	_	_
12-6	BO114	12	o	o	linguistic	none	_	_	_	_	_	_
12-7	BO114	12	adulto.	adulto	linguistic	none	Intonation=falling	End=60.06	_	_	_	_
13-0	BO115	13	che::	che	linguistic	none	_	Begin=61.33	2x2	_	_	_
13-1	BO115	13	((nomepaese))	((nomepaese))	nonverbalbehavior	none	_	_	_	_	_	_
13-2	BO115	13	è	è	linguistic	none	_	_	_	_	_	_
13-3	BO115	13	una	una	linguistic	none	_	_	_	_	_	_
13-4	BO115	13	piccola	piccola	linguistic	none	_	_	_	_	_	_
13-5	BO115	13	città?	città	linguistic	none	Intonation=rising	End=64.035	_	_	_	_
14-0	BO114	14	((nomepaese))	((nomepaese))	nonverbalbehavior	none	_	Begin=64.251	_	_	_	_
14-1	BO114	14	è	è	linguistic	none	_	_	_	_	_	_
14-2	BO114	14	una	una	linguistic	none	_	_	_	_	_	_
14-3	BO114	14	città	città	linguistic	none	_	_	_	_	_	_
14-4	BO114	14	molto	molto	linguistic	none	_	_	_	_	_	_
14-5	BO114	14	piccola,	piccola	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
14-6	BO114	14	in	in	linguistic	none	_	_	_	_	_	_
14-7	BO114	14	cui	cui	linguistic	none	_	_	_	_	_	_
14-8	BO114	14	è	è	linguistic	none	_	_	_	_	_	_
14-9	BO114	14	molto	molto	linguistic	none	_	_	_	_	_	_
