token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO030	0	comunque	comunque	linguistic	none	_	Begin=0.22	_	_	_	_
0-1	TO030	0	sì.	sì	linguistic	none	Intonation=falling	_	_	_	_	_
0-2	TO030	0	secondo	secondo	linguistic	none	_	_	_	_	_	_
0-3	TO030	0	me:::	me	linguistic	none	_	_	1x3	_	_	_
0-4	TO030	0	secondo	secondo	linguistic	none	_	_	_	_	_	_
0-5	TO030	0	me::	me	linguistic	none	_	_	1x2	_	_	_
0-6	TO030	0	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
0-7	TO030	0	potresti	potresti	linguistic	none	_	_	_	_	_	_
0-8	TO030	0	pro[vare].	provare	linguistic	none	Intonation=falling	End=4.475	_	_	_	3-7(0)
1-0	TO054	1	[prova]re.	provare	linguistic	none	Intonation=falling	Begin=4.153|End=4.617	_	_	_	0-5(0)
2-0	TO030	2	[(nel	nel	linguistic	none	_	Begin=4.77	_	_	0-3(0)	0-3(1)
2-1	TO030	2	senso)]	senso	linguistic	none	_	End=5.368	_	_	0-5(0)	0-5(1)
3-0	TO054	3	[ma	ma	linguistic	none	_	Begin=4.797	_	_	_	0-2(1)
3-1	TO054	3	io],	io	linguistic	none	Intonation=weakly_rising	_	_	_	_	0-2(1)
3-2	TO054	3	volevo	volevo	linguistic	none	_	_	_	_	_	_
3-3	TO054	3	provare:::	provare	linguistic	none	_	_	6x3	_	_	_
3-4	TO054	3	a	a	linguistic	none	_	_	_	_	_	_
3-5	TO054	3	parte	parte	linguistic	none	_	_	_	_	_	_
3-6	TO054	3	i	i	linguistic	none	_	_	_	_	_	_
3-7	TO054	3	tre	tre	linguistic	none	_	_	_	_	_	_
3-8	TO054	3	big,	big	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
3-9	TO054	3	che	che	linguistic	none	_	_	_	_	_	_
3-10	TO054	3	sono	sono	linguistic	none	_	_	_	_	_	_
3-11	TO054	3	roma,	roma	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
3-12	TO054	3	milano,	milano	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
3-13	TO054	3	[e	e	linguistic	none	_	_	_	_	_	0-1(2)
3-14	TO054	3	genova],	genova	linguistic	none	Intonation=weakly_rising	End=10.385	_	_	_	0-6(2)
4-0	TO030	4	[milano.	milano	linguistic	none	Intonation=falling	Begin=9.634	_	_	_	0-6(2)
4-1	TO030	4	sì].	sì	linguistic	none	Intonation=falling	_	_	_	_	0-2(2)
4-2	TO030	4	sì	sì	linguistic	none	_	_	_	_	_	_
4-3	TO030	4	sì.	sì	linguistic	none	Intonation=falling	End=11.09	_	_	_	_
5-0	TO054	5	ci	ci	linguistic	none	_	Begin=12.074	_	_	_	_
5-1	TO054	5	sono:::	sono	linguistic	none	_	_	3x3	_	_	_
5-2	TO054	5	altre	altre	linguistic	none	_	_	_	_	_	_
5-3	TO054	5	scuole	scuole	linguistic	none	ProsodicLink=Yes	_	_	_	_	_
5-4	TO054	5	che,	che	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
5-5	TO054	5	sono	sono	linguistic	none	_	_	_	_	_	_
5-6	TO054	5	i	i	linguistic	none	_	_	_	_	_	_
5-7	TO054	5	teatri	teatri	linguistic	none	_	_	_	_	_	_
5-8	TO054	5	stabili	stabili	linguistic	none	_	_	_	_	_	_
5-9	TO054	5	alla	alla	linguistic	none	_	_	_	_	_	_
5-10	TO054	5	fine.	fine	linguistic	none	Intonation=falling	End=15.47	_	_	_	_
6-0	TO030	6	sì.	sì	linguistic	none	Intonation=falling	Begin=15.47|End=15.822	_	_	_	_
7-0	TO030	7	[sì	sì	linguistic	none	_	Begin=16.262	_	_	_	0-2(3)
7-1	TO030	7	sì].	sì	linguistic	none	Intonation=falling	End=16.72	_	_	_	0-2(3)
8-0	TO054	8	[e	e	linguistic	none	_	Begin=16.283	_	_	_	0-1(3)
8-1	TO054	8	quin]di::	quindi	linguistic	none	_	_	5x2	_	_	0-4(3)
8-2	TO054	8	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
8-3	TO054	8	non	non	linguistic	none	_	_	_	_	_	_
8-4	TO054	8	le	le	linguistic	none	_	_	_	_	_	_
8-5	TO054	8	accademie	accademie	linguistic	none	_	_	_	_	_	_
8-6	TO054	8	private.	private	linguistic	none	Intonation=falling	End=19.076	_	_	_	_
9-0	TO054	9	perché	perché	linguistic	none	_	Begin=19.428	_	_	_	_
9-1	TO054	9	sono	sono	linguistic	none	_	_	_	_	_	_
9-2	TO054	9	poche	poche	linguistic	none	_	_	_	_	_	_
9-3	TO054	9	quelle	quelle	linguistic	none	_	_	_	_	_	_
9-4	TO054	9	[veramente	veramente	linguistic	none	_	_	_	_	_	0-9(4)
9-5	TO054	9	buone].	buone	linguistic	none	Intonation=falling	End=21.549	_	_	_	0-5(4)
10-0	TO030	10	[ma	ma	linguistic	none	_	Begin=20.409	_	_	_	0-2(4)
10-1	TO030	10	a	a	linguistic	none	_	_	_	_	_	0-1(4)
10-2	TO030	10	torino?	torino	linguistic	none	Intonation=rising	_	_	_	_	0-6(4)
10-3	TO030	10	torino]	torino	linguistic	none	_	_	_	_	_	0-6(4)
10-4	TO030	10	fa	fa	linguistic	none	_	_	_	_	_	_
10-5	TO030	10	ogni	ogni	linguistic	none	_	_	_	_	_	_
10-6	TO030	10	tre	tre	linguistic	none	_	_	_	_	_	_
10-7	TO030	10	anni?	anni	linguistic	none	Intonation=rising	End=22.658	_	_	_	_
11-0	TO054	11	torino	torino	linguistic	none	_	Begin=22.658	_	_	_	_
11-1	TO054	11	fa	fa	linguistic	none	_	_	_	_	_	_
11-2	TO054	11	ogni	ogni	linguistic	none	ProsodicLink=Yes	_	_	_	_	_
11-3	TO054	11	e:h	eh	linguistic	none	_	_	0x1	_	_	_
11-4	TO054	11	tre	tre	linguistic	none	_	_	_	_	_	_
11-5	TO054	11	an[ni,	anni	linguistic	none	Intonation=weakly_rising	_	_	_	_	2-4(5)
11-6	TO054	11	e:::]	e	linguistic	none	_	_	0x3	_	_	0-1(5)
