token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO085	0	la	la	linguistic	none	_	Begin=0.0	_	_	_	_
0-1	TO085	0	la	la	linguistic	none	_	_	_	_	_	_
0-2	TO085	0	land	land	linguistic	none	_	End=0.838	_	_	_	_
1-0	TO091	1	sì	sì	linguistic	none	_	Begin=1.87	_	_	_	_
1-1	TO091	1	ma	ma	linguistic	none	_	_	_	_	_	_
1-2	TO091	1	devi	devi	linguistic	none	_	_	_	_	_	_
1-3	TO091	1	esse(re)	essere	linguistic	none	_	_	_	_	4-6(0)	_
1-4	TO091	1	spontanea	spontanea	linguistic	none	_	End=3.306	_	_	_	_
2-0	TO090	2	io	io	linguistic	none	_	Begin=3.34	_	_	_	_
2-1	TO090	2	so(n)	son	linguistic	none	_	_	_	_	2-3(0)	_
2-2	TO090	2	poliglotta	poliglotta	linguistic	none	_	_	_	_	_	_
2-3	TO090	2	(come	come	linguistic	none	_	_	_	_	0-4(1)	_
2-4	TO090	2	faccio?)	faccio	linguistic	none	Intonation=rising	End=4.591	_	_	0-6(1)	_
3-0	TO091	3	strozzati.	strozzati	linguistic	none	Intonation=falling	Begin=4.8|End=5.535	_	_	_	_
4-0	TO090	4	mi	mi	linguistic	none	_	Begin=5.84	_	_	_	_
4-1	TO090	4	strozzo.	strozzo	linguistic	none	Intonation=falling	End=6.804	_	_	_	_
5-0	TO089	5	e	e	linguistic	none	_	Begin=8.137	_	_	_	_
5-1	TO089	5	comunque	comunque	linguistic	none	_	_	_	_	_	_
5-2	TO089	5	poi	poi	linguistic	none	_	_	_	_	_	_
5-3	TO089	5	dobbiamo:::	dobbiamo	linguistic	none	_	End=9.377	7x3	_	_	_
6-0	TO089	6	andare	andare	linguistic	none	_	Begin=9.422	_	_	_	_
6-1	TO089	6	a	a	linguistic	none	_	_	_	_	_	_
6-2	TO089	6	prendere	prendere	linguistic	none	_	_	_	_	_	_
6-3	TO089	6	la	la	linguistic	none	_	_	_	_	_	_
6-4	TO089	6	roba	roba	linguistic	none	_	End=10.281	_	_	_	_
7-0	???	7	prendere	prendere	linguistic	none	_	Begin=10.316	_	_	_	_
7-1	???	7	la	la	linguistic	none	_	_	_	_	_	_
7-2	???	7	roba	roba	linguistic	none	_	_	_	_	_	_
7-3	???	7	e	e	linguistic	none	_	_	_	_	_	_
7-4	???	7	poi	poi	linguistic	none	_	_	_	_	_	_
7-5	???	7	dobbiamo	dobbiamo	linguistic	none	_	_	_	_	_	_
7-6	???	7	[xx]	x	unknown	none	_	End=11.895	_	_	_	0-2(0)
8-0	TO090	8	[ma]	ma	linguistic	none	_	Begin=11.782	_	_	_	0-2(0)
8-1	TO090	8	lei	lei	linguistic	none	_	_	_	_	_	_
8-2	TO090	8	che	che	linguistic	none	_	_	_	_	_	_
8-3	TO090	8	è	è	linguistic	none	_	_	_	_	_	_
8-4	TO090	8	tutta	tutta	linguistic	none	_	_	_	_	_	_
8-5	TO090	8	polento:na	polentona	linguistic	none	_	End=13.057	6x1	_	_	_
9-0	TO090	9	come	come	linguistic	none	_	Begin=13.114	_	_	_	_
9-1	TO090	9	si	si	linguistic	none	_	_	_	_	_	_
9-2	TO090	9	fa?	fa	linguistic	none	Intonation=rising	End=13.6	_	_	_	_
10-0	TO085	10	chi	chi	linguistic	none	_	Begin=14.284	_	_	_	_
10-1	TO085	10	è	è	linguistic	none	_	_	_	_	_	_
10-2	TO085	10	polentona?	polentona	linguistic	none	Intonation=rising	End=15.387	_	_	_	_
11-0	TO085	11	anch'	anch'	linguistic	none	SpaceAfter=No	Begin=15.61	_	_	_	_
11-1	TO085	11	io	io	linguistic	none	_	End=16.164	_	_	_	_
12-0	TO090	12	sì	sì	linguistic	none	_	Begin=16.477	_	_	_	_
12-1	TO090	12	[ma	ma	linguistic	none	_	_	_	_	_	0-2(1)
12-2	TO090	12	no	no	linguistic	none	_	_	_	_	_	0-2(1)
12-3	TO090	12	ma	ma	linguistic	none	_	_	_	_	_	0-2(1)
12-4	TO090	12	lei	lei	linguistic	none	_	_	_	_	_	0-3(1)
12-5	TO090	12	è	è	linguistic	none	_	_	_	_	_	0-1(1)
12-6	TO090	12	di	di	linguistic	none	_	_	_	_	_	0-2(1)
12-7	TO090	12	torino	torino	linguistic	none	_	_	_	_	_	0-6(1)
12-8	TO090	12	ma	ma	linguistic	none	_	_	_	_	_	0-2(1)
12-9	TO090	12	lei]	lei	linguistic	none	_	_	_	_	_	0-3(1)
12-10	TO090	12	è	è	linguistic	none	_	_	_	_	_	_
12-11	TO090	12	di	di	linguistic	none	_	_	_	_	_	_
12-12	TO090	12	monza	monza	linguistic	none	_	End=18.655	_	_	_	_
13-0	TO089	13	[ma	ma	linguistic	none	_	Begin=16.602	_	_	_	0-2(1)
13-1	TO089	13	non	non	linguistic	none	_	_	_	_	_	0-3(1)
13-2	TO089	13	si	si	linguistic	none	_	_	_	_	_	0-2(1)
13-3	TO089	13	sente	sente	linguistic	none	_	_	_	_	_	0-5(1)
13-4	TO089	13	tanto],	tanto	linguistic	none	Intonation=weakly_rising	End=17.859	_	_	_	0-5(1)
14-0	TO089	14	ma	ma	linguistic	none	_	Begin=18.683	_	_	_	_
14-1	TO089	14	(lo	lo	linguistic	none	_	_	_	_	0-2(0)	_
14-2	TO089	14	sente?)	sente	linguistic	none	Intonation=rising	End=19.394	_	_	0-5(0)	_
15-0	TO085	15	io	io	linguistic	none	_	Begin=19.394	_	_	_	_
15-1	TO085	15	sono:::,	sono	linguistic	none	Intonation=weakly_rising	_	3x3	_	_	_
15-2	TO085	15	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
15-3	TO085	15	milanese.	milanese	linguistic	none	Intonation=falling	End=21.28	_	_	_	_
16-0	TO085	16	c(io)è,	cioè	linguistic	none	Intonation=weakly_rising	Begin=21.41	_	_	1-3(0)	_
16-1	TO085	16	[monza].	monza	linguistic	none	Intonation=falling	_	_	_	_	0-5(2)
16-2	TO085	16	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
16-3	TO085	16	proprio	proprio	linguistic	none	_	_	_	_	_	_
16-4	TO085	16	polentona	polentona	linguistic	none	_	_	_	_	_	_
16-5	TO085	16	vera	vera	linguistic	none	_	End=24.096	_	_	_	_
17-0	TO091	17	[milanese]	milanese	linguistic	none	_	Begin=21.884|End=22.553	_	_	_	0-8(2)
18-0	TO090	18	eh	eh	linguistic	none	_	Begin=24.868	_	_	_	_
18-1	TO090	18	ma	ma	linguistic	none	_	_	_	_	_	_
18-2	TO090	18	polentoni,	polentoni	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
18-3	TO090	18	c(io)è	cioè	linguistic	none	_	_	_	_	1-3(0)	_
18-4	TO090	18	una	una	linguistic	none	_	_	_	_	_	_
18-5	TO090	18	concezione	concezione	linguistic	none	_	_	_	_	_	_
18-6	TO090	18	del	del	linguistic	none	_	_	_	_	_	_
18-7	TO090	18	polentone,	polentone	linguistic	none	Intonation=weakly_rising	End=27.465	_	_	_	_
19-0	TO090	19	(si	si	linguistic	none	_	Begin=28.991	_	_	0-2(0)	_
19-1	TO090	19	estende)	estende	linguistic	none	_	_	_	_	0-7(0)	_
19-2	TO090	19	al	al	linguistic	none	_	_	_	_	_	_
19-3	TO090	19	nord	nord	linguistic	none	_	End=30.24	_	_	_	_
20-0	TO090	20	firmo.	firmo	linguistic	none	Intonation=falling	Begin=30.48|End=31.037	_	_	_	_
21-0	TO090	21	bello,	bello	linguistic	none	Intonation=weakly_rising	Begin=31.113	_	_	_	_
21-1	TO090	21	con	con	linguistic	none	_	_	_	_	_	_
21-2	TO090	21	cosa?	cosa	linguistic	none	Intonation=rising	End=32.033	_	_	_	_
22-0	TO090	22	c'	c'	linguistic	none	SpaceAfter=No	Begin=32.158	_	_	_	_
22-1	TO090	22	hai	hai	linguistic	none	_	_	_	_	_	_
22-2	TO090	22	una	una	linguistic	none	_	_	_	_	_	_
22-3	TO090	22	penna?	penna	linguistic	none	Intonation=rising	End=32.805	_	_	_	_
23-0	TO085	23	s~	s~	linguistic	none	Interrupted=Yes	Begin=32.946	_	_	_	_
23-1	TO085	23	no	no	linguistic	none	_	_	_	_	_	_
23-2	TO085	23	((ride))	((ride))	nonverbalbehavior	none	_	End=33.907	_	_	_	_
24-0	TO089	24	no	no	linguistic	none	_	Begin=35.045	_	_	_	_
24-1	TO089	24	vabbè,	vabbè	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
24-2	TO089	24	((ride))	((ride))	nonverbalbehavior	none	_	End=36.289	_	_	_	_
25-0	TO090	25	[hai	hai	linguistic	none	_	Begin=35.836	_	_	_	0-3(3)
25-1	TO090	25	per	per	linguistic	none	_	_	_	_	_	0-3(3)
25-2	TO090	25	caso]	caso	linguistic	none	_	_	_	_	_	0-4(3)
25-3	TO090	25	una	una	linguistic	none	_	_	_	_	_	_
25-4	TO090	25	penna?	penna	linguistic	none	Intonation=rising	End=36.905	_	_	_	_
26-0	TO091	26	stava	stava	linguistic	none	_	Begin=37.55	_	_	_	_
26-1	TO091	26	[parlando	parlando	linguistic	none	_	_	_	_	_	0-8(4)
26-2	TO091	26	al	al	linguistic	none	_	_	_	_	_	0-2(4)
26-3	TO091	26	telefono	telefono	linguistic	none	_	_	_	_	_	0-8(4)
26-4	TO091	26	xx]	x	unknown	none	_	End=39.001	_	_	_	0-2(4)
27-0	TO090	27	[scusami,	scusami	linguistic	none	Intonation=weakly_rising	Begin=37.95	_	_	_	0-7(4)
