token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO024	0	e:h,	eh	linguistic	none	Intonation=weakly_rising	Begin=0.594	0x1	_	_	_
0-1	TO024	0	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
0-2	TO024	0	anna,	anna	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
0-3	TO024	0	rossi.	rossi	linguistic	none	Intonation=falling	End=3.301	_	_	_	_
1-0	TO024	1	buongiorno.	buongiorno	linguistic	none	Intonation=falling	Begin=17.675|End=18.286	_	_	_	_
2-0	TO022	2	s~	s~	linguistic	none	Interrupted=Yes	Begin=20.36	_	_	_	_
2-1	TO022	2	io	io	linguistic	none	_	_	_	_	_	_
2-2	TO022	2	(non)	non	linguistic	none	_	_	_	_	0-3(0)	_
2-3	TO022	2	sono::	sono	linguistic	none	_	_	3x2	_	_	_
2-4	TO022	2	frequentante,	frequentante	linguistic	none	Intonation=weakly_rising	End=22.054	_	_	_	_
3-0	TO024	3	lei	lei	linguistic	none	_	Begin=22.379	_	_	_	_
3-1	TO024	3	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
3-2	TO024	3	[È]	è	linguistic	none	Volume=high	_	_	_	_	0-1(0)
3-3	TO024	3	frequen[tante.	frequentante	linguistic	none	Intonation=falling	_	_	_	_	7-12(1)
3-4	TO024	3	sì].	sì	linguistic	none	Intonation=falling	End=25.279	_	_	_	0-2(1)
4-0	TO022	4	[frequentante].	frequentante	linguistic	none	Intonation=falling	Begin=23.009|End=23.716	_	_	_	0-12(0)
5-0	TO022	5	[ho	ho	linguistic	none	_	Begin=24.209	_	_	_	0-2(1)
5-1	TO022	5	firmato	firmato	linguistic	none	_	_	_	_	_	0-7(1)
5-2	TO022	5	an]che:	anche	linguistic	none	_	_	4x1	_	_	0-2(1)
5-3	TO022	5	il	il	linguistic	none	_	_	_	_	_	_
5-4	TO022	5	foglio::	foglio	linguistic	none	_	_	5x2	_	_	_
5-5	TO022	5	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
5-6	TO022	5	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
5-7	TO022	5	ultimo	ultimo	linguistic	none	_	_	_	_	_	_
5-8	TO022	5	giorno	giorno	linguistic	none	_	_	_	_	_	_
5-9	TO022	5	dell'	dell'	linguistic	none	SpaceAfter=No	_	_	_	_	_
5-10	TO022	5	argomento.	argomento	linguistic	none	Intonation=falling	End=28.438	_	_	_	_
6-0	TO024	6	non	non	linguistic	none	_	Begin=28.696	_	_	_	_
6-1	TO024	6	era	era	linguistic	none	_	_	_	_	_	_
6-2	TO024	6	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
6-3	TO024	6	ultimo	ultimo	linguistic	none	_	_	_	_	_	_
6-4	TO024	6	giorno,	giorno	linguistic	none	Intonation=weakly_rising	End=30.091	_	_	_	_
7-0	TO022	7	ah.	ah	linguistic	none	Intonation=falling	Begin=30.091	_	_	_	_
7-1	TO022	7	però,	però	linguistic	none	Intonation=weakly_rising	_	_	_	_	_
7-2	TO022	7	ehm:	ehm	linguistic	none	_	_	2x1	_	_	_
7-3	TO022	7	>cioè<	cioè	linguistic	none	_	_	_	Fast=0-4(0)	_	_
7-4	TO022	7	nel	nel	linguistic	none	_	_	_	_	_	_
7-5	TO022	7	senso	senso	linguistic	none	_	_	_	_	_	_
7-6	TO022	7	il	il	linguistic	none	_	_	_	_	_	_
7-7	TO022	7	giorno	giorno	linguistic	none	_	_	_	_	_	_
7-8	TO022	7	in	in	linguistic	none	_	_	_	_	_	_
7-9	TO022	7	cui	cui	linguistic	none	_	_	_	_	_	_
7-10	TO022	7	lei	lei	linguistic	none	_	_	_	_	_	_
7-11	TO022	7	ha	ha	linguistic	none	_	_	_	_	_	_
