token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO017	0	li	li	linguistic	none	_	Begin=0.01	_	_	_	_
0-1	TO017	0	confrontiamo	confrontiamo	linguistic	none	_	_	_	_	_	_
0-2	TO017	0	tutti:,	tutti	linguistic	none	Intonation=weakly_rising	_	4x1	_	_	_
0-3	TO017	0	e	e	linguistic	none	_	_	_	_	_	_
0-4	TO017	0	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
0-5	TO017	0	la	la	linguistic	none	_	_	_	_	_	_
0-6	TO017	0	domanda	domanda	linguistic	none	_	_	_	_	_	_
0-7	TO017	0	è	è	linguistic	none	_	_	_	_	_	_
0-8	TO017	0	riusciamo	riusciamo	linguistic	none	_	_	_	_	_	_
0-9	TO017	0	a	a	linguistic	none	_	_	_	_	_	_
0-10	TO017	0	trovare	trovare	linguistic	none	_	_	_	_	_	_
0-11	TO017	0	una	una	linguistic	none	_	_	_	_	_	_
0-12	TO017	0	serie	serie	linguistic	none	_	_	_	_	_	_
0-13	TO017	0	di	di	linguistic	none	_	_	_	_	_	_
0-14	TO017	0	tratti	tratti	linguistic	none	_	_	_	_	_	_
0-15	TO017	0	una	una	linguistic	none	_	_	_	_	_	_
0-16	TO017	0	serie	serie	linguistic	none	_	_	_	_	_	_
0-17	TO017	0	di	di	linguistic	none	_	_	_	_	_	_
0-18	TO017	0	strutture,	strutture	linguistic	none	Intonation=weakly_rising	End=5.21	_	_	_	_
1-0	TO017	1	comuni	comuni	linguistic	none	_	Begin=5.64	_	_	_	_
1-1	TO017	1	a	a	linguistic	none	_	_	_	_	_	_
1-2	TO017	1	tutti	tutti	linguistic	none	_	_	_	_	_	_
1-3	TO017	1	questi	questi	linguistic	none	_	_	_	_	_	_
1-4	TO017	1	dialetti	dialetti	linguistic	none	_	End=8.119	_	_	_	_
2-0	TO017	2	mh,	mh	linguistic	none	Intonation=weakly_rising	Begin=8.28|End=8.549	_	_	_	_
3-0	TO017	3	tutti	tutti	linguistic	none	_	Begin=8.6	_	_	_	_
3-1	TO017	3	i	i	linguistic	none	_	_	_	_	_	_
3-2	TO017	3	dialetti	dialetti	linguistic	none	_	_	_	_	_	_
3-3	TO017	3	ce	ce	linguistic	none	_	_	_	_	_	_
3-4	TO017	3	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
3-5	TO017	3	hanno	hanno	linguistic	none	_	_	_	_	_	_
3-6	TO017	3	e	e	linguistic	none	_	_	_	_	_	_
3-7	TO017	3	attenzione	attenzione	linguistic	none	_	End=10.64	_	_	_	_
4-0	TO017	4	a	a	linguistic	none	_	Begin=10.685	_	_	_	_
4-1	TO017	4	nessuna	nessuna	linguistic	none	_	_	_	_	_	_
4-2	TO017	4	altra	altra	linguistic	none	_	_	_	_	_	_
4-3	TO017	4	lingua	lingua	linguistic	none	_	_	_	_	_	_
4-4	TO017	4	semitica	semitica	linguistic	none	_	End=12.41	_	_	_	_
5-0	TO017	5	>perché<	perché	linguistic	none	_	Begin=12.863	_	Fast=0-6(0)	_	_
5-1	TO017	5	altrim~	altrim~	linguistic	none	Interrupted=Yes	End=13.462	_	_	_	_
6-0	TO017	6	cioè	cioè	linguistic	none	_	Begin=13.488	_	_	_	_
6-1	TO017	6	noi	noi	linguistic	none	_	_	_	_	_	_
6-2	TO017	6	abbiamo	abbiamo	linguistic	none	_	_	_	_	_	_
6-3	TO017	6	bisogno	bisogno	linguistic	none	_	_	_	_	_	_
6-4	TO017	6	di	di	linguistic	none	_	_	_	_	_	_
6-5	TO017	6	qualcosa	qualcosa	linguistic	none	_	_	_	_	_	_
6-6	TO017	6	che	che	linguistic	none	_	_	_	_	_	_
6-7	TO017	6	identifichi,	identifichi	linguistic	none	Intonation=weakly_rising	End=15.341	_	_	_	_
7-0	TO017	7	l'	l'	linguistic	none	SpaceAfter=No	Begin=15.775	_	_	_	_
7-1	TO017	7	arabo,	arabo	linguistic	none	Intonation=weakly_rising	End=16.417	_	_	_	_
8-0	TO017	8	co:me,	come	linguistic	none	Intonation=weakly_rising	Begin=16.947	1x1	_	_	_
8-1	TO017	8	una	una	linguistic	none	_	_	_	_	_	_
8-2	TO017	8	realtà	realtà	linguistic	none	_	_	_	_	_	_
8-3	TO017	8	linguistica	linguistica	linguistic	none	_	_	_	_	_	_
8-4	TO017	8	indipendente	indipendente	linguistic	none	_	_	_	_	_	_
8-5	TO017	8	dal	dal	linguistic	none	_	_	_	_	_	_
8-6	TO017	8	resto	resto	linguistic	none	_	_	_	_	_	_
8-7	TO017	8	della	della	linguistic	none	_	_	_	_	_	_
8-8	TO017	8	famiglia	famiglia	linguistic	none	_	_	_	_	_	_
8-9	TO017	8	semitica.	semitica	linguistic	none	Intonation=falling	End=21.029	_	_	_	_
9-0	TO017	9	okay,	okay	linguistic	none	Intonation=weakly_rising	Begin=21.258|End=21.735	_	_	_	_
10-0	TO017	10	poss:iamo	possiamo	linguistic	none	_	Begin=22.344	3x1	_	_	_
10-1	TO017	10	farla	farla	linguistic	none	_	_	_	_	_	_
10-2	TO017	10	questa	questa	linguistic	none	_	_	_	_	_	_
10-3	TO017	10	cosa,	cosa	linguistic	none	Intonation=weakly_rising	End=24.155	_	_	_	_
11-0	TO017	11	ovviamente	ovviamente	linguistic	none	_	Begin=25.026	_	_	_	_
11-1	TO017	11	questo	questo	linguistic	none	_	_	_	_	_	_
11-2	TO017	11	non	non	linguistic	none	_	_	_	_	_	_
11-3	TO017	11	richierebbe	richierebbe	linguistic	none	_	_	_	_	_	_
11-4	TO017	11	un	un	linguistic	none	_	_	_	_	_	_
11-5	TO017	11	lavoro	lavoro	linguistic	none	_	_	_	_	_	_
11-6	TO017	11	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
11-7	TO017	11	infinito,	infinito	linguistic	none	Intonation=weakly_rising	End=28.045	_	_	_	_
12-0	TO017	12	c'	c'	linguistic	none	SpaceAfter=No	Begin=28.547	_	_	_	_
12-1	TO017	12	è	è	linguistic	none	_	_	_	_	_	_
12-2	TO017	12	qualcuno	qualcuno	linguistic	none	_	_	_	_	_	_
12-3	TO017	12	che	che	linguistic	none	_	_	_	_	_	_
12-4	TO017	12	c'	c'	linguistic	none	SpaceAfter=No	_	_	_	_	_
12-5	TO017	12	ha	ha	linguistic	none	_	_	_	_	_	_
12-6	TO017	12	provato:	provato	linguistic	none	_	_	6x1	_	_	_
12-7	TO017	12	comunque,	comunque	linguistic	none	Intonation=weakly_rising	End=30.444	_	_	_	_
13-0	TO017	13	ma	ma	linguistic	none	_	Begin=31.484|End=31.795	_	_	_	_
