code	occupation	gender	conversations	school-region	age-range
BO002	student	F	BOA3001	toscana	21-25
BO003	student	F	BOA3001	emilia-romagna	21-25
BO005	student	F	BOA1025	estero	21-25
BO007	student	F	BOA3002	toscana	21-25
BO008	student	M	BOA3002	puglia	21-25
BO009	student	F	BOA3002	emilia-romagna	21-25
BO010	student	F	BOA3002	emilia-romagna	21-25
BO013	intellectual	M	BOD1001	emilia-romagna	51-55
BO014	student	F	BOD2001	emilia-romagna	21-25
BO016	student	F	BOA3003	emilia-romagna	21-25
BO017	student	F	BOA3003	emilia-romagna	21-25
BO018	student	F	BOA3003	toscana	21-25
BO019	student	F	BOA3003	lombardia	21-25
BO020	student	F	BOA1001	campania	21-25
BO021	student	F	BOA3004;BOA3006;BOD2005;BOA3007	campania	21-25
BO026	intellectual	F	BOA1001;BOA1002;BOA1003;BOA1004;BOA1005;BOA1006;BOA1007;BOA1008;BOA1009;BOA1010;BOA1011;BOA1012;BOA1013;BOA1014;BOA1015	basilicata	56-60
BO027	student	F	BOA1004	marche	26-30
BO028	student	F	BOA1002	molise	21-25
BO029	student	F	BOA1002	sicilia	21-25
BO030	student	F	BOA1002	sicilia	21-25
BO031	student	F	BOA1002	sicilia	21-25
BO032	student	F	BOA1002;BOA1003	emilia-romagna	21-25
BO033	student	F	BOA1005	lazio	21-25
BO034	student	F	BOA1006	veneto	21-25
BO035	student	F	BOA1007	emilia-romagna	21-25
BO036	student	M	BOA1008	calabria	26-30
BO037	student	F	BOA1009	trentino-alto-adige	21-25
BO038	student	F	BOA1010	campania	21-25
BO039	student	F	BOA1010	marche	21-25
BO040	student	F	BOA1011	basilicata	21-25
BO041	student	F	BOA1011	puglia	26-30
BO042	student	F	BOA1012	veneto	21-25
BO043	student	F	BOA1013	abruzzo	21-25
BO044	student	F	BOA1014	sicilia	26-30
BO045	student	F	BOA1015	sardegna	26-30
BO046	student	F	BOA3004	trentino-alto-adige	21-25
BO047	student	M	BOA3004	puglia	21-25
BO048	student	F	BOA3004;BOA3006;BOA3007	piemonte	21-25
BO049	student	F	BOD2006;BOD2007;BOD2008;BOD2010;BOD2011	emilia-romagna	21-25
BO051	student	M	BOD2006	emilia-romagna	26-30
BO052	student	M	BOD2007	emilia-romagna	21-25
BO053	student	M	BOD2008	emilia-romagna	21-25
BO054	student	F	BOD2009	emilia-romagna	21-25
BO056	student	M	BOD2009	emilia-romagna	21-25
BO057	student	F	BOD2003	calabria	21-25
BO070	student	F	BOD2003	N/A	N/A
BO071	student	M	BOA3006;BOA3007	lombardia	21-25
BO072	student	M	BOD2005;BOA3006;BOA3007	calabria	21-25
BO073	student	F	BOD2005	basilicata	21-25
BO074	student	M	BOD2010	emilia-romagna	21-25
BO075	student	M	BOD2011	emilia-romagna	21-25
BO082	intellectual	M	BOA1016;BOA1017;BOA1018	emilia-romagna	41-45
BO083	student	F	BOA1016	emilia-romagna	21-25
BO084	student	F	BOA1017	veneto	21-25
BO085	student	F	BOA1018	lombardia	21-25
BO086	student	F	BOA3015	estero	21-25
BO087	intellectual	M	BOC1001;BOC1002;BOC1003;BOC1004	emilia-romagna	41-45
BO088	student	F	BOC1001	emilia-romagna	21-25
BO089	student	F	BOC1002	marche	21-25
BO090	student	M	BOC1003	sicilia	21-25
BO091	student	M	BOC1004	emilia-romagna	21-25
BO092	intellectual	M	BOC1006;BOD1003	emilia-romagna	61-65
BO093	intellectual	F	BOD1004	emilia-romagna	41-45
BO094	intellectual	F	BOD1005	toscana	66-70
BO095	student	F	BOA3010;BOA3011;BOA3012;BOA3013	sicilia	21-25
BO096	student	F	BOA3010	sicilia	21-25
BO097	student	F	BOA3011;BOA3012;BOA3013	lombardia	21-25
BO098	student	M	BOD2013	emilia-romagna	21-25
BO099	intellectual	F	BOD1006	emilia-romagna	66-70
BO100	intellectual	M	BOD1007	piemonte	31-35
BO102	intellectual	M	BOD1009	estero	31-35
BO103	intellectual	M	BOD1010	lazio	51-55
BO104	intellectual	F	BOC1005;BOC1007	emilia-romagna	36-40
BO105	student	F	BOC1005	emilia-romagna	21-25
BO112	intellectual	F	BOD1011	emilia-romagna	51-55
BO113	student	M	BOD2014	emilia-romagna	21-25
BO114	student	F	BOD2015	veneto	21-25
BO115	student	M	BOA3015;BOD2013;BOD2014;BOD2015	emilia-romagna	21-25
BO117	intellectual	F	BOC1008;BOC1009;BOA1025	lombardia	36-40
BO118	student	F	BOD2018	marche	21-25
BO119	student	F	BOD2016;BOD2017;BOD2019	umbria	21-25
BO120	student	M	BOD2016	puglia	26-30
BO121	student	M	BOD2017	abruzzo	21-25
BO122	student	M	BOD2019	umbria	21-25
BO139	student	M	BOA3016;BOA3017;BOA3018	emilia-romagna	21-25
BO140	student	F	BOD2018	marche	26-30
BO141	student	F	BOC1008	emilia-romagna	21-25
BO142	student	F	BOC1009	toscana	21-25
BO143	student	F	BOC1006	N/A	N/A
BO144	student	F	BOC1007	emilia-romagna	21-25
BO145	student	F	BOA3017;BOA3018	emilia-romagna	21-25
BO146	student	M	BOA3017	marche	21-25
BO147	student	M	BOA3017	marche	21-25
BO148	student	F	BOA3016	lombardia	21-25
BO149	student	M	BOA3019	emilia-romagna	21-25
BO150	student	M	BOA3019	emilia-romagna	21-25
BO151	student	M	BOA3019	emilia-romagna	21-25
BO152	student	F	BOA3019;BOA3020	emilia-romagna	21-25
BO153	student	F	BOA3020	emilia-romagna	21-25
BO154	student	M	BOA3020	veneto	21-25
BO155	student	F	BOA3021	emilia-romagna	21-25
BO156	student	M	BOA3021	emilia-romagna	21-25
BO157	student	M	BOA3021	emilia-romagna	21-25
BO158	student	M	BOA3021	emilia-romagna	21-25
T0032	student	M	TOA3005	piemonte	21-25
TO002	intellectual	M	TOC1001	toscana	46-50
TO003	student	M	TOC1001	piemonte	21-25
TO004	intellectual	M	TOD1002	N/A	N/A
TO006	intellectual	M	TOC1002;TOC1003	piemonte	56-60
TO007	student	M	TOC1002	piemonte	21-25
TO008	student	M	TOC1003	piemonte	31-35
TO017	intellectual	M	TOD1005;TOD1005bis	piemonte	31-35
