token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO021	0	0	0	non	non	_	_	_	_	_	linguistic	_	none	_	Begin=2.09	_	_	_	_
0-1	BO021	0	0	1	stavo	stavo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	BO021	0	0	2	registrando	registrando	_	_	_	_	_	linguistic	_	none	_	End=3.51	_	_	_	_
1-0	BO047	1	1	0	non	non	_	_	_	_	_	linguistic	_	none	_	Begin=6.08	_	_	_	_
1-1	BO047	1	1	1	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	BO047	1	1	2	registrato	registrato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	BO047	1	1	3	nulla?	nulla	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=7.315	_	_	_	_
2-0	BO021	2	2	0	no	no	_	_	_	_	_	linguistic	_	none	_	Begin=7.53	_	_	_	_
2-1	BO021	2	2	1	fino	fino	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	BO021	2	2	2	ad	ad	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	BO021	2	2	3	ora	ora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	BO021	2	2	4	no.	no	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=8.61	_	_	_	_
3-0	BO021	3	3	0	ho	ho	_	_	_	_	_	linguistic	_	none	_	Begin=8.747	_	_	_	_
3-1	BO021	3	3	1	fatto	fatto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	BO021	3	3	2	prima	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	BO021	3	3	3	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	BO021	3	3	4	registrazione	registrazione	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	BO021	3	3	5	appena	appena	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	BO021	3	3	6	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-7	BO021	3	3	7	arrivata,	arrivata	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
3-8	BO021	3	3	8	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-9	BO021	3	3	9	due	due	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-10	BO021	3	3	10	minuti,	minuti	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
3-11	BO021	3	3	11	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-12	BO021	3	3	12	me	me	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-13	BO021	3	3	13	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-14	BO021	3	3	14	ste	ste	_	_	_	_	_	linguistic	_	none	_	End=13.431	_	_	_	_
4-0	BO021	4	4	0	però	però	_	_	_	_	_	linguistic	_	none	_	Begin=13.652	_	_	_	_
4-1	BO021	4	4	1	c'	c'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
4-2	BO021	4	4	2	era	era	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	BO021	4	4	3	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	BO021	4	4	4	sacco	sacco	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	BO021	4	4	5	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	BO021	4	4	6	gente	gente	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-7	BO021	4	4	7	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-8	BO021	4	4	8	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-9	BO021	4	4	9	parlava	parlava	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-10	BO021	4	4	10	intorno	intorno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-11	BO021	4	4	11	quindi	quindi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-12	BO021	4	4	12	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-13	BO021	4	4	13	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-14	BO021	4	4	14	era	era	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-15	BO021	4	4	15	insostenibile	insostenibile	_	_	_	_	_	linguistic	_	none	_	End=17.81	_	_	_	_
5-0	BO046	5	5	0	ye:::h,	yeh	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising|PauseAfter=Yes	Begin=18.305	1x3	_	_	_
5-1	BO046	5	5	1	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
5-2	BO046	5	5	2	fagiolini:::	fagiolini	_	_	_	_	_	linguistic	_	none	_	End=19.726	8x3	_	_	_
6-0	BO021	6	6	0	mh	mh	_	_	_	_	_	linguistic	_	none	_	Begin=21.694	_	_	_	_
6-1	BO021	6	6	1	(stat	stat	_	_	_	_	_	linguistic	_	none	_	_	_	_	0-4(0)	_
6-2	BO021	6	6	2	chien	chien	_	_	_	_	_	linguistic	_	none	_	_	_	_	0-5(0)	_
6-3	BO021	6	6	3	e')	e'	_	_	_	_	_	linguistic	_	none	Truncated=Yes	_	_	_	0-2(0)	_
6-4	BO021	6	6	4	fagiolini	fagiolini	_	_	_	_	_	linguistic	_	none	_	End=23.062	_	_	_	_
7-0	BO021	7	7	0	dite	dite	_	_	_	_	_	linguistic	_	none	_	Begin=26.87	_	_	_	_
7-1	BO021	7	7	1	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	BO021	7	7	2	verità	verità	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	BO021	7	7	3	[l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	0-2(0)
7-4	BO021	7	7	4	avete]	avete	_	_	_	_	_	linguistic	_	none	_	End=28.09	_	_	_	0-5(0)
8-0	BO047	8	8	0	[e	e	_	_	_	_	_	linguistic	_	none	_	Begin=27.431	_	_	_	0-1(0)
8-1	BO047	8	8	1	tu	tu	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
8-2	BO047	8	8	2	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(0)
