token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO117	0	0	0	o:kay,	okay	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=2.41|End=3.31	0x1	_	_	_
1-0	BO117	1	1	0	all:ora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=6.98|End=8.53	2x1	_	_	_
2-0	BO117	2	2	0	e:::hm	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=8.855	0x3	_	_	_
2-1	BO117	2	2	1	dunque	dunque	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	BO117	2	2	2	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	BO117	2	2	3	ricordo	ricordo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	BO117	2	2	4	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	BO117	2	2	5	lei	lei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	BO117	2	2	6	ha	ha	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	BO117	2	2	7	frequen[tato]	frequentato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	7-11(0)
2-8	BO117	2	2	8	e::hm	ehm	_	_	_	_	_	linguistic	_	none	_	End=13.81	0x2	_	_	_
3-0	BO141	3	3	0	[°sì,	sì	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising|Volume=low	Begin=11.955	_	_	_	0-2(0)
3-1	BO141	3	3	1	(esatto)°]	esatto	_	_	_	_	_	linguistic	_	none	Volume=low	End=12.825	_	_	0-6(0)	0-6(0)
4-0	BO117	4	4	0	le	le	_	_	_	_	_	linguistic	_	none	_	Begin=14.61	_	_	_	_
4-1	BO117	4	4	1	direi	direi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	BO117	4	4	2	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	BO117	4	4	3	e:h	eh	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
4-4	BO117	4	4	4	cominciare	cominciare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	BO117	4	4	5	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	BO117	4	4	6	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-7	BO117	4	4	7	definizione	definizione	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-8	BO117	4	4	8	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-9	BO117	4	4	9	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-10	BO117	4	4	10	cortesia	cortesia	_	_	_	_	_	linguistic	_	none	_	End=20.02	_	_	_	_
