token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO117	0	0	0	okay.	okay	_	_	_	_	_	linguistic	_	none	Intonation=Falling	Begin=1.97|End=2.249	_	_	_	_
1-0	BO117	1	1	0	{tossisce}	{tossisce}	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=2.544|End=3.264	_	_	_	_
2-0	BO117	2	2	0	dunque	dunque	_	_	_	_	_	linguistic	_	none	_	Begin=3.933	_	_	_	_
2-1	BO117	2	2	1	lei	lei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	BO117	2	2	2	su	su	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	BO117	2	2	3	quali	quali	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	BO117	2	2	4	manuali	manuali	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	BO117	2	2	5	si	si	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	BO117	2	2	6	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	BO117	2	2	7	preparata	preparata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-8	BO117	2	2	8	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-9	BO117	2	2	9	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-10	BO117	2	2	10	frequentante?	frequentante	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=7.308	_	_	_	_
3-0	BO142	3	3	0	su	su	_	_	_	_	_	linguistic	_	none	_	Begin=7.594	_	_	_	_
3-1	BO142	3	3	1	bianchi,	bianchi	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
3-2	BO142	3	3	2	andorno	andorno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	BO142	3	3	3	e::mh,	emh	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=10.676	0x2	_	_	_
4-0	BO142	4	4	0	e:	e	_	_	_	_	_	linguistic	_	none	_	Begin=11.683	0x1	_	_	_
4-1	BO142	4	4	1	poi	poi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	BO142	4	4	2	penco	penco	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	BO142	4	4	3	e:::	e	_	_	_	_	_	linguistic	_	none	_	_	0x3	_	_	_
4-4	BO142	4	4	4	domaneschi,	domaneschi	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=14.75	_	_	_	_
5-0	BO117	5	5	0	mhmh.	mhmh	_	_	_	_	_	linguistic	_	none	Intonation=Falling	Begin=14.948|End=15.352	_	_	_	_
6-0	BO142	6	6	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=15.772	_	_	_	_
6-1	BO142	6	6	1	voghera.	voghera	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=16.478	_	_	_	_
7-0	BO117	7	7	0	va	va	_	_	_	_	_	linguistic	_	none	_	Begin=17.276	_	_	_	_
7-1	BO117	7	7	1	bene.	bene	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=17.909	_	_	_	_
8-0	BO117	8	8	0	e::h	eh	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=18.963	0x2	_	_	_
8-1	BO117	8	8	1	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
8-2	BO117	8	8	2	partiamo	partiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-3	BO117	8	8	3	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-4	BO117	8	8	4	voghera,	voghera	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=20.955	_	_	_	_
9-0	BO117	9	9	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=21.823	_	_	_	_
9-1	BO117	9	9	1	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	BO117	9	9	2	si	si	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-3	BO117	9	9	3	intende	intende	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-4	BO117	9	9	4	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-5	BO117	9	9	5	correlati	correlati	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-6	BO117	9	9	6	funzionali	funzionali	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
9-7	BO117	9	9	7	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
9-8	BO117	9	9	8	del	del	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-9	BO117	9	9	9	parlato?	parlato	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=25.382	_	_	_	_
10-0	BO142	10	10	0	mh.	mh	_	_	_	_	_	linguistic	_	none	Intonation=Falling	Begin=25.65|End=25.819	_	_	_	_
11-0	BO142	11	11	0	si	si	_	_	_	_	_	linguistic	_	none	_	Begin=26.345	_	_	_	_
11-1	BO142	11	11	1	intendono	intendono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-2	BO142	11	11	2	tutte	tutte	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	BO142	11	11	3	quelle	quelle	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-4	BO142	11	11	4	caratteristiche	caratteristiche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-5	BO142	11	11	5	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-6	BO142	11	11	6	e::hm	ehm	_	_	_	_	_	linguistic	_	none	_	_	0x2	_	_	_
11-7	BO142	11	11	7	contraddistinguono	contraddistinguono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-8	BO142	11	11	8	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-9	BO142	11	11	9	parlato,	parlato	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=32.0	_	_	_	_
12-0	BO142	12	12	0	rispetto	rispetto	_	_	_	_	_	linguistic	_	none	_	Begin=32.403	_	_	_	_
12-1	BO142	12	12	1	allo	allo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-2	BO142	12	12	2	scritto	scritto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-3	BO142	12	12	3	ovvero	ovvero	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-4	BO142	12	12	4	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-5	BO142	12	12	5	fatto	fatto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-6	BO142	12	12	6	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-7	BO142	12	12	7	sia	sia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-8	BO142	12	12	8	un:,	un	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=36.102	1x1	_	_	_
13-0	BO142	13	13	0	e:h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=36.506	0x1	_	_	_
13-1	BO142	13	13	1	cor~	cor~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
13-2	BO142	13	13	2	un:,	un	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=37.969	1x1	_	_	_
14-0	BO142	14	14	0	e::hm::,	ehm	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=38.396|End=39.61	0x2,2x2	_	_	_
15-0	BO142	15	15	0	metodo	metodo	_	_	_	_	_	linguistic	_	none	_	Begin=39.79	_	_	_	_
15-1	BO142	15	15	1	dinamico	dinamico	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-2	BO142	15	15	2	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-3	BO142	15	15	3	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-4	BO142	15	15	4	esprimersi	esprimersi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-5	BO142	15	15	5	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-6	BO142	15	15	6	fatto	fatto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-7	BO142	15	15	7	che:	che	_	_	_	_	_	linguistic	_	none	_	_	2x1	_	_	_
15-8	BO142	15	15	8	sia,	sia	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=43.816	_	_	_	_
16-0	BO142	16	16	0	comunque	comunque	_	_	_	_	_	linguistic	_	none	_	Begin=44.22	_	_	_	_
16-1	BO142	16	16	1	e::hm::,	ehm	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=46.087	0x2,2x2	_	_	_
17-0	BO142	17	17	0	ehm	ehm	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=46.639	_	_	_	_
17-1	BO142	17	17	1	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
17-2	BO142	17	17	2	diciamo	diciamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-3	BO142	17	17	3	m:h	mh	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
17-4	BO142	17	17	4	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-5	BO142	17	17	5	imprimibile	imprimibile	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-6	BO142	17	17	6	su	su	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-7	BO142	17	17	7	un:	un	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
17-8	BO142	17	17	8	supporto:,	supporto	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=52.403	7x1	_	_	_
18-0	BO142	18	18	0	fisico,	fisico	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=52.771|End=53.609	_	_	_	_
19-0	BO142	19	19	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=53.941	_	_	_	_
19-1	BO142	19	19	1	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-2	BO142	19	19	2	fatto	fatto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-3	BO142	19	19	3	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-4	BO142	19	19	4	e::h	eh	_	_	_	_	_	linguistic	_	none	_	_	0x2	_	_	_
19-5	BO142	19	19	5	segua	segua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
