token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BO113	0	0	0	okay.	okay	_	_	_	_	_	linguistic	_	none	Intonation=Falling	Begin=1.621	_	_	_	_
0-1	BO113	0	0	1	molto	molto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	BO113	0	0	2	bene.	bene	_	_	_	_	_	linguistic	_	none	Intonation=Falling	_	_	_	_	_
0-3	BO113	0	0	3	salve	salve	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	BO113	0	0	4	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	BO113	0	0	5	tutti.	tutti	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=4.078	_	_	_	_
1-0	BO115	1	1	0	allora,	allora	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=5.053|End=5.67	_	_	_	_
2-0	BO115	2	2	0	e::h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=7.461	0x2	_	_	_
2-1	BO115	2	2	1	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	BO115	2	2	2	so.	so	_	_	_	_	_	linguistic	_	none	Intonation=Falling	_	_	_	_	_
2-3	BO115	2	2	3	cosa::	cosa	_	_	_	_	_	linguistic	_	none	_	End=10.253	3x2	_	_	_
3-0	BO115	3	3	0	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	Begin=10.773	_	_	_	_
3-1	BO115	3	3	1	stai	stai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	BO115	3	3	2	facendo	facendo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	BO115	3	3	3	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	BO115	3	3	4	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	BO115	3	3	5	bologna?	bologna	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=12.438	_	_	_	_
4-0	BO113	4	4	0	mah	mah	_	_	_	_	_	linguistic	_	none	_	Begin=13.495	_	_	_	_
4-1	BO113	4	4	1	ti	ti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	BO113	4	4	2	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	BO113	4	4	3	detto.	detto	_	_	_	_	_	linguistic	_	none	Intonation=Falling	_	_	_	_	_
4-4	BO113	4	4	4	ero	ero	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	BO113	4	4	5	venuto	venuto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	BO113	4	4	6	su	su	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-7	BO113	4	4	7	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-8	BO113	4	4	8	dare	dare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-9	BO113	4	4	9	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-10	BO113	4	4	10	esame,	esame	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=15.691	_	_	_	_
5-0	BO113	5	5	0	poi	poi	_	_	_	_	_	linguistic	_	none	_	Begin=16.868	_	_	_	_
5-1	BO113	5	5	1	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	BO113	5	5	2	son	son	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	BO113	5	5	3	riuscito	riuscito	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	BO113	5	5	4	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	BO113	5	5	5	darlo.	darlo	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=18.356	_	_	_	_
6-0	BO113	6	6	0	allora:	allora	_	_	_	_	_	linguistic	_	none	_	Begin=19.428|End=20.678	5x1	_	_	_
7-0	BO113	7	7	0	son	son	_	_	_	_	_	linguistic	_	none	_	Begin=21.328	_	_	_	_
7-1	BO113	7	7	1	stato	stato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	BO113	7	7	2	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	BO113	7	7	3	po'::	po'	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	1x2	_	_	_
7-4	BO113	7	7	4	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
7-5	BO113	7	7	5	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	BO113	7	7	6	studiare,	studiare	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=23.96	_	_	_	_
8-0	BO113	8	8	0	con	con	_	_	_	_	_	linguistic	_	none	_	Begin=24.813	_	_	_	_
8-1	BO113	8	8	1	amici.	amici	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=25.666	_	_	_	_
9-0	BO113	9	9	0	oggi	oggi	_	_	_	_	_	linguistic	_	none	_	Begin=27.09	_	_	_	_
9-1	BO113	9	9	1	ritorno	ritorno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	BO113	9	9	2	giù,	giù	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=28.161	_	_	_	_
10-0	BO113	10	10	0	poi	poi	_	_	_	_	_	linguistic	_	none	_	Begin=28.555	_	_	_	_
10-1	BO113	10	10	1	ritorno	ritorno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-2	BO113	10	10	2	su	su	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-3	BO113	10	10	3	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-4	BO113	10	10	4	ventitré.	ventitré	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=29.841	_	_	_	_
11-0	BO113	11	11	0	e::::	e	_	_	_	_	_	linguistic	_	none	_	Begin=31.138|End=32.873	0x4	_	_	_
12-0	BO113	12	12	0	infatti::	infatti	_	_	_	_	_	linguistic	_	none	_	Begin=34.098	6x2	_	_	_
12-1	BO113	12	12	1	magari::	magari	_	_	_	_	_	linguistic	_	none	_	End=35.921	5x2	_	_	_
13-0	BO113	13	13	0	quando	quando	_	_	_	_	_	linguistic	_	none	_	Begin=36.401	_	_	_	_
13-1	BO113	13	13	1	torno	torno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-2	BO113	13	13	2	su	su	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-3	BO113	13	13	3	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-4	BO113	13	13	4	prossima	prossima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-5	BO113	13	13	5	volta,	volta	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
13-6	BO113	13	13	6	facciamo	facciamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-7	BO113	13	13	7	quella	quella	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-8	BO113	13	13	8	cena	cena	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-9	BO113	13	13	9	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-10	BO113	13	13	10	cose.	cose	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=39.553	_	_	_	_
14-0	BO115	14	14	0	io	io	_	_	_	_	_	linguistic	_	none	_	Begin=39.911	_	_	_	_
14-1	BO115	14	14	1	avrò	avrò	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-2	BO115	14	14	2	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-3	BO115	14	14	3	esame::	esame	_	_	_	_	_	linguistic	_	none	_	_	4x2	_	_	_
14-4	BO115	14	14	4	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-5	BO115	14	14	5	ventisei.	ventisei	_	_	_	_	_	linguistic	_	none	Intonation=Falling	_	_	_	_	_
14-6	BO115	14	14	6	[però]::,	però	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=43.2	3x2	_	_	0-4(3)
15-0	BO113	15	15	0	[mh]	mh	_	_	_	_	_	linguistic	_	none	_	Begin=42.41|End=42.91	_	_	_	0-2(3)
16-0	BO115	16	16	0	ma:	ma	_	_	_	_	_	linguistic	_	none	_	Begin=44.728	1x1	_	_	_
16-1	BO115	16	16	1	quindi::	quindi	_	_	_	_	_	linguistic	_	none	_	_	5x2	_	_	_
16-2	BO115	16	16	2	dopo	dopo	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
16-3	BO115	16	16	3	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
16-4	BO115	16	16	4	qua~	qua~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
16-5	BO115	16	16	5	darai	darai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-6	BO115	16	16	6	quest'	quest'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
16-7	BO115	16	16	7	esame	esame	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-8	BO115	16	16	8	più	più	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-9	BO115	16	16	9	avanti	avanti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-10	BO115	16	16	10	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-11	BO115	16	16	11	detto.	detto	_	_	_	_	_	linguistic	_	none	Intonation=Falling	_	_	_	_	_
16-12	BO115	16	16	12	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-13	BO115	16	16	13	lo	lo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-14	BO115	16	16	14	dai	dai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-15	BO115	16	16	15	adesso.	adesso	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=49.9	_	_	_	_
17-0	BO113	17	17	0	sì.	sì	_	_	_	_	_	linguistic	_	none	Intonation=Falling	Begin=49.92|End=50.4	_	_	_	_
18-0	BO113	18	18	0	bologna	bologna	_	_	_	_	_	linguistic	_	none	_	Begin=52.018	_	_	_	_
18-1	BO113	18	18	1	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-2	BO113	18	18	2	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-3	BO113	18	18	3	città	città	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-4	BO113	18	18	4	bellissima,	bellissima	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=53.95	_	_	_	_
19-0	BO113	19	19	0	ci	ci	_	_	_	_	_	linguistic	_	none	_	Begin=54.825	_	_	_	_
19-1	BO113	19	19	1	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-2	BO113	19	19	2	passato	passato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-3	BO113	19	19	3	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-4	BO113	19	19	4	sacco	sacco	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-5	BO113	19	19	5	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-6	BO113	19	19	6	tempo,	tempo	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=56.345	_	_	_	_
20-0	BO113	20	20	0	mi	mi	_	_	_	_	_	linguistic	_	none	_	Begin=57.248	_	_	_	_
20-1	BO113	20	20	1	piace	piace	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-2	BO113	20	20	2	sempre.	sempre	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=58.29	_	_	_	_
21-0	BO113	21	21	0	e:::	e	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=59.73	0x3	_	_	_
21-1	BO113	21	21	1	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
21-2	BO113	21	21	2	ma	ma	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-3	BO113	21	21	3	te	te	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-4	BO113	21	21	4	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-5	BO113	21	21	5	rimini	rimini	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-6	BO113	21	21	6	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-7	BO113	21	21	7	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-8	BO113	21	21	8	andato?	andato	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=62.25	_	_	_	_
22-0	BO115	22	22	0	m::	m	_	_	_	_	_	linguistic	_	none	_	Begin=63.748	0x2	_	_	_
22-1	BO115	22	22	1	devo	devo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
22-2	BO115	22	22	2	fartele	fartele	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
22-3	BO115	22	22	3	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
22-4	BO115	22	22	4	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
22-5	BO115	22	22	5	dom[ande].	domande	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=65.758	_	_	_	3-7(6)
23-0	BO113	23	23	0	[no	no	_	_	_	_	_	linguistic	_	none	_	Begin=65.12	_	_	_	0-2(6)
23-1	BO113	23	23	1	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(6)
23-2	BO113	23	23	2	ra]gione.	ragione	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=66.01	_	_	_	0-2(6)
24-0	BO115	24	24	0	{ride}	{ride}	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=67.736	_	_	_	_
24-1	BO115	24	24	1	no	no	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
24-2	BO115	24	24	2	sche[rzo].	scherzo	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=68.883	_	_	_	4-7(7)
25-0	BO113	25	25	0	[vai]	vai	_	_	_	_	_	linguistic	_	none	_	Begin=68.47	_	_	_	0-3(7)
25-1	BO113	25	25	1	vai.	vai	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=69.023	_	_	_	_
26-0	BO115	26	26	0	e::hm	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=69.358|End=71.121	0x2	_	_	_
27-0	BO115	27	27	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=71.966	_	_	_	_
27-1	BO115	27	27	1	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
27-2	BO115	27	27	2	stato::	stato	_	_	_	_	_	linguistic	_	none	_	_	4x2	_	_	_
27-3	BO115	27	27	3	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
27-4	BO115	27	27	4	natale	natale	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
27-5	BO115	27	27	5	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
27-6	BO115	27	27	6	paio	paio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
27-7	BO115	27	27	7	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
27-8	BO115	27	27	8	giorni.	giorni	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=75.103	_	_	_	_
28-0	BO115	28	28	0	comunque::	comunque	_	_	_	_	_	linguistic	_	none	_	Begin=76.071	7x2	_	_	_
28-1	BO115	28	28	1	no	no	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
28-2	BO115	28	28	2	parlami:,	parlami	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=78.573	6x1	_	_	_
29-0	BO115	29	29	0	do~	do~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	Begin=79.541	_	_	_	_
29-1	BO115	29	29	1	dov'	dov'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
29-2	BO115	29	29	2	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-3	BO115	29	29	3	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-4	BO115	29	29	4	stavi	stavi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-5	BO115	29	29	5	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-6	BO115	29	29	6	casa	casa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-7	BO115	29	29	7	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-8	BO115	29	29	8	'sti	'sti	_	_	_	_	_	linguistic	_	none	Truncated=Yes	_	_	_	_	_
29-9	BO115	29	29	9	giorni?	giorni	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=81.756	_	_	_	_
30-0	BO113	30	30	0	a	a	_	_	_	_	_	linguistic	_	none	_	Begin=81.775	_	_	_	_
30-1	BO113	30	30	1	@nomepaese	@nomepaese	_	_	_	_	_	anonymized	_	none	_	End=82.711	_	_	_	_
