token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	TO053	0	0	0	avevo	avevo	_	_	_	_	_	linguistic	_	none	_	Begin=5.966	_	_	_	_
0-1	TO053	0	0	1	anche	anche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	TO053	0	0	2	visto::	visto	_	_	_	_	_	linguistic	_	none	_	End=7.768	4x2	_	_	_
1-0	TO052	1	1	0	parliamo	parliamo	_	_	_	_	_	linguistic	_	none	_	Begin=7.768	_	_	_	_
1-1	TO052	1	1	1	male	male	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	TO052	1	1	2	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	TO052	1	1	3	caparezza.	caparezza	_	_	_	_	_	linguistic	_	none	Intonation=Falling	_	_	_	_	_
1-4	TO052	1	1	4	(allora)	allora	_	_	_	_	_	linguistic	_	none	_	End=10.051	_	_	0-6(0)	_
2-0	TO052	2	2	0	sinceramente	sinceramente	_	_	_	_	_	linguistic	_	none	_	Begin=10.328	_	_	_	_
2-1	TO052	2	2	1	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	TO052	2	2	2	me	me	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	TO052	2	2	3	l~	l~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
2-4	TO052	2	2	4	lalbum	lalbum	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	TO052	2	2	5	museica,	museica	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=13.03	_	_	_	_
3-0	TO052	3	3	0	non	non	_	_	_	_	_	linguistic	_	none	_	Begin=14.478	_	_	_	_
3-1	TO052	3	3	1	cè	cè	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	TO052	3	3	2	nessun	nessun	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	TO052	3	3	3	pezzo	pezzo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	TO052	3	3	4	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	TO052	3	3	5	parte	parte	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	TO052	3	3	6	forse	forse	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-7	TO052	3	3	7	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-8	TO052	3	3	8	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-9	TO052	3	3	9	del	del	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-10	TO052	3	3	10	cabaret	cabaret	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-11	TO052	3	3	11	voltaire,	voltaire	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=18.826	_	_	_	_
4-0	TO052	4	4	0	che	che	_	_	_	_	_	linguistic	_	none	_	Begin=19.721	_	_	_	_
4-1	TO052	4	4	1	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	TO052	4	4	2	dico	dico	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	TO052	4	4	3	<mi:nchia	minchia	_	_	_	_	_	linguistic	_	none	_	_	1x1	Slow=0-7(0)	_	_
4-4	TO052	4	4	4	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	Slow=0-3(0)	_	_
4-5	TO052	4	4	5	pezzone>	pezzone	_	_	_	_	_	linguistic	_	none	_	_	_	Slow=0-7(0)	_	_
4-6	TO052	4	4	6	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-7	TO052	4	4	7	capito,	capito	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=22.896	_	_	_	_
5-0	TO048	5	5	0	anche	anche	_	_	_	_	_	linguistic	_	none	_	Begin=23.036	_	_	_	_
5-1	TO048	5	5	1	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	TO048	5	5	2	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	TO048	5	5	3	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	TO048	5	5	4	po'	po'	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	TO048	5	5	5	xx	xx	_	_	_	_	_	unknown	_	none	Syllables=2	_	_	_	_	_
5-6	TO048	5	5	6	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-7	TO048	5	5	7	vero	vero	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-8	TO048	5	5	8	pure	pure	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-9	TO048	5	5	9	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-10	TO048	5	5	10	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
5-11	TO048	5	5	11	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-12	TO048	5	5	12	ascoltato	ascoltato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-13	TO048	5	5	13	meno.	meno	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=25.724	_	_	_	_
6-0	TO048	6	6	0	cio[è	cioè	_	_	_	_	_	linguistic	_	none	_	Begin=25.826	_	_	_	3-4(0)
6-1	TO048	6	6	1	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
6-2	TO048	6	6	2	parte	parte	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(0)
6-3	TO048	6	6	3	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(0)
6-4	TO048	6	6	4	(anche)	anche	_	_	_	_	_	linguistic	_	none	_	_	_	_	0-5(0)	0-5(0)
6-5	TO048	6	6	5	colpa	colpa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(0)
6-6	TO048	6	6	6	m]ia	mia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(0)
6-7	TO048	6	6	7	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-8	TO048	6	6	8	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-9	TO048	6	6	9	tipo,	tipo	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=28.33	_	_	_	_
7-0	TO052	7	7	0	[e	e	_	_	_	_	_	linguistic	_	none	_	Begin=26.115	_	_	_	0-1(0)
7-1	TO052	7	7	1	infatti	infatti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-7(0)
7-2	TO052	7	7	2	x~],	x~	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising|Interrupted=Yes	End=27.298	_	_	_	0-2(0)
8-0	TO048	8	8	0	e:h	eh	_	_	_	_	_	linguistic	_	none	ProsodicLink=Yes	Begin=28.405	0x1	_	_	_
8-1	TO048	8	8	1	mh	mh	_	_	_	_	_	linguistic	_	none	_	End=29.35	_	_	_	_
9-0	TO048	9	9	0	il	il	_	_	_	_	_	linguistic	_	none	_	Begin=29.855	_	_	_	_
